name,address,freebikes,slots,latitude,longitude,ll,review_count,Bar,Restaurant,POI,avg_bar_rating,avg_poi_rating,avg_restaurant_rating
Canal St & Monroe St,,0,31,41.88169,-87.63953,"41.8817,-87.6395",69261.0,52,66,5,3.8884615384615384,4.14,4.03939393939394
Southport Ave & Wrightwood Ave,,11,31,41.928773,-87.663913,"41.9288,-87.6639",30124.0,33,60,15,3.9166666666666665,3.9214285714285713,4.060526315789473
State St & 29th St,,5,31,41.841707,-87.626938,"41.8417,-87.6269",6077.0,4,40,15,4.225,1.2666666666666666,3.554054054054054
Canal St & Adams St,,1,31,41.879255,-87.639904,"41.8793,-87.6399",57503.0,54,66,11,3.8361111111111112,4.08,3.9984375
Stony Island Ave & 75th St,,2,31,41.7586696704,-87.586882871,"41.7587,-87.5869",834.0,4,39,7,3.8333333333333335,1.3333333333333333,2.8076923076923075
Cottage Grove Ave & 43rd St,,6,31,41.816499,-87.606582,"41.8165,-87.6066",4147.0,3,36,20,4.0,3.65,3.0428571428571427
Indiana Ave & 31st St,,8,31,41.838842,-87.621857,"41.8388,-87.6219",2389.0,8,39,17,3.69,4.2,3.355714285714286
Racine Ave & 15th St,,7,31,41.861267,-87.656625,"41.8613,-87.6566",18397.0,26,62,11,3.8636363636363638,3.9625,4.078571428571428
Ashland Ave & 13th St,,5,31,41.865234,-87.666507,"41.8652,-87.6665",16754.0,18,66,11,3.715384615384615,3.8875,3.9375
Ashland Ave & Grand Ave,,7,31,41.891072,-87.666611,"41.8911,-87.6666",20825.0,31,62,16,3.9314814814814816,3.891666666666667,4.123214285714286
Halsted St & 35th St,,5,31,41.830661,-87.647172,"41.8307,-87.6472",9266.0,11,51,10,4.071428571428571,4.325,3.9723404255319146
Austin Blvd & Chicago Ave,,7,31,41.894887,-87.774704,"41.8949,-87.7747",723.0,2,41,12,4.05,2.642857142857143,2.35
Glenwood Ave & Touhy Ave,,2,31,42.012701,-87.666058,"42.0127,-87.6661",6781.0,15,48,17,4.25,3.8181818181818183,4.040697674418604
Oakley Ave & Touhy Ave,,4,31,42.012342,-87.688243,"42.0123,-87.6882",4565.0,10,47,11,3.8333333333333335,4.1,3.784090909090909
Western Ave & Howard St,,4,31,42.018901,-87.690048,"42.0189,-87.69",4405.0,9,40,9,4.0,3.75,3.539473684210526
Greenview Ave & Jarvis Ave,,2,31,42.015962,-87.66857,"42.016,-87.6686",6519.0,13,47,20,4.4,3.858333333333333,4.022619047619047
Bosworth Ave & Howard St,,1,31,42.019537,-87.669563,"42.0195,-87.6696",4088.0,9,41,22,4.142857142857143,3.876923076923077,3.6447368421052633
Valli Produce - Evanston Plaza,,0,31,42.039742,-87.699413,"42.0397,-87.6994",3963.0,2,35,9,4.5,2.216666666666667,2.8857142857142857
Pulaski Rd & Lake St,,3,31,41.885409,-87.726491,"41.8854,-87.7265",923.0,3,22,9,3.5,3.375,1.8571428571428572
Cicero Ave & Lake St,,2,31,41.886841,-87.745261,"41.8868,-87.7453",340.0,2,35,6,3.5,,1.9428571428571428
Clark St & Columbia Ave,,6,31,42.00445062934,-87.6724024047,"42.0045,-87.6724",9363.0,20,54,16,3.8800000000000003,3.725,4.091836734693878
Warren Park East,,3,31,42.00454962194,-87.6806661451,"42.0045,-87.6807",7866.0,6,57,11,4.25,4.35,3.978
California Ave & 23rd Pl,,5,31,41.84910969176,-87.6951398068,"41.8491,-87.6951",2773.0,3,51,5,4.033333333333333,3.9,3.457
Central Park Ave & 24th St,,5,31,41.8481,-87.715068,"41.8481,-87.7151",2459.0,4,54,6,4.0,,3.69
Glenwood Ave & Morse Ave,,10,31,42.00797192287,-87.6655023944,"42.008,-87.6655",8373.0,14,48,16,3.9875000000000003,3.7666666666666666,3.989130434782609
Western Ave & 28th St,,4,31,41.84151770807,-87.6851314409,"41.8415,-87.6851",1470.0,2,26,6,,1.6,2.9423076923076925
Albany Ave & 26th St,,2,31,41.84447501366,-87.7020130128,"41.8445,-87.702",2346.0,2,49,6,3.75,3.8,3.521276595744681
Halsted St & Polk St,,0,31,41.87184,-87.64664,"41.8718,-87.6466",20112.0,19,59,17,3.659375,3.983333333333333,3.970909090909091
900 W Harrison St,,3,31,41.874754,-87.649807,"41.8748,-87.6498",21015.0,28,60,13,3.948,4.08,4.052727272727273
Stony Island Ave & 67th St,,3,31,41.77345849948,-87.5853397391,"41.7735,-87.5853",1061.0,3,33,7,3.5,2.7,2.2580645161290325
Clinton St & Polk St,,1,31,41.87146651779,-87.6409491327,"41.8715,-87.6409",22621.0,26,65,11,3.6520833333333336,3.925,3.95078125
Orleans St & Merchandise Mart Plaza,,3,31,41.888243,-87.63639,"41.8882,-87.6364",84585.0,56,63,6,4.091964285714286,4.108333333333333,4.173015873015872
State St & Pearson St,,5,31,41.897448,-87.628722,"41.8974,-87.6287",65765.0,48,73,4,4.1937500000000005,4.1625,4.145205479452055
Wabash Ave & Adams St,,0,31,41.87947235235,-87.6256886059,"41.8795,-87.6257",40681.0,36,62,16,3.8430555555555554,4.20625,4.006451612903226
State St & Van Buren St,,4,31,41.877181,-87.627844,"41.8772,-87.6278",43331.0,38,64,10,3.804054054054054,4.238888888888889,4.011111111111111
Racine Ave & Congress Pkwy,,17,31,41.87464,-87.65703,"41.8746,-87.657",20083.0,29,61,16,3.8229166666666665,4.24,4.065
Ashland Ave & Augusta Blvd,,5,31,41.899643,-87.6677,"41.8996,-87.6677",25076.0,34,69,12,3.8551724137931034,3.9916666666666667,4.1039682539682545
Dearborn St & Adams St,,0,31,41.8793563587,-87.6297910363,"41.8794,-87.6298",36100.0,44,66,10,3.7965909090909093,4.17,3.979545454545454
Franklin St & Jackson Blvd,,1,31,41.8777079559,-87.6353211408,"41.8777,-87.6353",37503.0,47,67,11,3.797872340425532,3.925,4.006153846153846
Streeter Dr & Grand Ave,,10,31,41.892278,-87.612043,"41.8923,-87.612",42225.0,24,50,16,3.855555555555556,4.1899999999999995,4.0718749999999995
Cannon Dr & Fullerton Ave,,2,31,41.9267559875,-87.6344287848,"41.9268,-87.6344",27333.0,20,53,20,3.864705882352941,4.394444444444444,4.14
Latrobe Ave & Chicago Ave,,5,31,41.894745,-87.756895,"41.8947,-87.7569",230.0,3,42,8,4.0,0.0,1.8414634146341464
Archer (Damen) Ave & 37th St,,11,31,41.826712,-87.683144,"41.8267,-87.6831",1990.0,5,42,5,3.5,1.125,2.95
Kedzie Ave & 21st St,,4,31,41.85353363213,-87.7050730318,"41.8535,-87.7051",2123.0,3,46,7,4.0,4.0,3.532608695652174
Fairfield Ave & Roosevelt Rd,,3,31,41.866624,-87.694521,"41.8666,-87.6945",1341.0,5,40,5,2.75,3.125,2.6794871794871793
Ogden Ave & Roosevelt Rd,,3,31,41.86650148316,-87.68469707,"41.8665,-87.6847",1886.0,6,45,6,3.5,3.8833333333333333,3.011904761904762
Kedzie Ave & Roosevelt Rd,,1,31,41.86649278172,-87.7064961757,"41.8665,-87.7065",171.0,1,25,10,0.0,1.3333333333333333,1.8
Kedzie Ave & Harrison St,,10,31,41.87359967462,-87.7048707493,"41.8736,-87.7049",204.0,4,32,13,1.9,2.125,2.235483870967742
MLK Jr Dr & 63rd St,,2,31,41.78008063659,-87.6159428567,"41.7801,-87.6159",588.0,3,26,7,0.0,3.175,2.54
Emerald Ave & 31st St,,4,31,41.838198,-87.645143,"41.8382,-87.6451",11810.0,11,58,11,3.9,4.1375,3.9098039215686278
Calumet Ave & 35th St,,7,31,41.831379,-87.618034,"41.8314,-87.618",3251.0,4,39,26,3.0,3.95,2.768918918918919
DuSable Lake Shore Dr & Belmont Ave,,12,31,41.940775,-87.639192,"41.9408,-87.6392",26937.0,35,58,12,3.846969696969697,4.033333333333333,4.097413793103448
Clark St & Chicago Ave,,1,31,41.89675,-87.63089,"41.8968,-87.6309",68848.0,48,71,4,4.177083333333333,4.075,4.1429577464788725
Cottage Grove Ave & 47th St,,7,31,41.809855,-87.606755,"41.8099,-87.6068",3306.0,5,45,14,2.8875,3.825,2.7988095238095236
Halsted St & Clybourn Ave,,13,31,41.909668,-87.648128,"41.9097,-87.6481",22082.0,31,56,15,3.9369565217391305,3.53,4.06
Lincoln Ave & Addison St,,6,31,41.946176,-87.673308,"41.9462,-87.6733",19567.0,53,58,17,3.925,3.707142857142857,4.0327586206896555
Ashland Ave & Blackhawk St,,10,31,41.907066,-87.667252,"41.9071,-87.6673",26868.0,41,65,11,3.928048780487805,4.083333333333333,4.13125
Burling St & Diversey Pkwy,,12,31,41.93314,-87.64776,"41.9331,-87.6478",33307.0,53,71,5,3.844,4.1125,4.071323529411765
Dusable Harbor,,5,31,41.886976,-87.612813,"41.887,-87.6128",54232.0,24,50,24,3.9425,4.25,4.069791666666666
LaSalle St & Washington St,,1,31,41.882664,-87.63253,"41.8827,-87.6325",60914.0,55,67,7,3.9536363636363636,4.235714285714286,4.085820895522388
Clinton St & Washington Blvd,,4,31,41.88338,-87.64117,"41.8834,-87.6412",62737.0,54,68,5,3.9425925925925926,4.01,4.133823529411765
Millennium Park,,4,31,41.8810317,-87.62408432,"41.881,-87.6241",43614.0,35,60,16,3.9857142857142858,4.284375,4.08
Sheffield Ave & Willow St,,0,31,41.913688,-87.652855,"41.9137,-87.6529",34968.0,44,59,12,3.820588235294118,4.075,3.9473214285714286
Carpenter St & Huron St,,12,31,41.894556,-87.653449,"41.8946,-87.6534",31535.0,34,57,11,3.9603448275862068,3.5799999999999996,4.128181818181818
Stony Island Ave & 64th St,,6,31,41.778881,-87.586647,"41.7789,-87.5866",926.0,2,20,13,4.0,3.007142857142857,2.3823529411764706
Clark St & Armitage Ave,,2,31,41.918306,-87.636282,"41.9183,-87.6363",24541.0,29,51,16,3.852,4.25,4.098979591836734
Field Museum,,26,31,41.865312,-87.617867,"41.8653,-87.6179",31074.0,13,50,22,3.819230769230769,4.1000000000000005,3.8249999999999997
Desplaines St & Randolph St,,11,31,41.88461618962,-87.6445705849,"41.8846,-87.6446",56249.0,55,70,4,3.901818181818182,3.8,4.087142857142857
Racine Ave & Garfield Blvd,,4,31,41.794228,-87.655073,"41.7942,-87.6551",151.0,3,21,7,2.5,2.0,2.238095238095238
Ashland Ave & Garfield Blvd,,2,31,41.792822,-87.664429,"41.7928,-87.6644",64.0,3,21,5,0.0,2.0,1.8421052631578947
Ashland Ave & 50th St,,8,31,41.803023,-87.664699,"41.803,-87.6647",589.0,4,45,5,2.0,2.3333333333333335,3.0125
Damen Ave & 51st St,,4,31,41.800908,-87.674684,"41.8009,-87.6747",432.0,1,42,6,,1.5,2.880952380952381
Seeley Ave & Garfield Blvd,,7,31,41.794087,-87.675478,"41.7941,-87.6755",179.0,3,35,7,,1.45,2.1875
Throop St & 52nd St,,5,31,41.799659,-87.657195,"41.7997,-87.6572",268.0,4,28,2,2.5,2.0,2.7037037037037037
Hoyne Ave & 47th St,,8,31,41.808227,-87.67718,"41.8082,-87.6772",753.0,2,45,3,3.75,,3.4
Central Ave & Chicago Ave,,4,31,41.894958,-87.764902,"41.895,-87.7649",510.0,3,42,8,4.0,0.2,2.3
Elizabeth St & 47th St,,8,31,41.80839,-87.656526,"41.8084,-87.6565",641.0,6,40,5,3.2600000000000002,0.0,3.1423076923076922
Ashland Ave & McDowell Ave,,4,31,41.80887,-87.66454,"41.8089,-87.6645",722.0,4,50,4,2.8333333333333335,,2.756122448979592
Wolcott (Ravenswood) Ave & Montrose Ave,,0,31,41.961406,-87.676169,"41.9614,-87.6762",20590.0,35,61,7,4.0851851851851855,3.8249999999999997,4.0864406779661016
Clark St & Montrose Ave,,8,31,41.961588,-87.666036,"41.9616,-87.666",15108.0,29,58,15,4.110526315789474,3.425,4.074545454545454
Sedgwick St & Schiller St,,6,31,41.907626,-87.638566,"41.9076,-87.6386",35338.0,46,58,14,3.8024999999999998,3.9071428571428575,3.977777777777778
MLK Jr Dr & 29th St,,3,31,41.842052,-87.617,"41.8421,-87.617",339.0,4,15,18,4.1499999999999995,2.91,2.8333333333333335
Sheridan Rd & Montrose Ave,,5,31,41.96167,-87.65464,"41.9617,-87.6546",14620.0,25,52,21,3.864705882352941,4.0125,4.035294117647059
Sangamon St & Washington Blvd,,13,31,41.883165,-87.6511,"41.8832,-87.6511",54972.0,54,68,11,3.9632653061224485,3.8909090909090907,4.037121212121212
Loomis St & Jackson Blvd,,6,31,41.877945,-87.662007,"41.8779,-87.662",22078.0,38,57,16,3.8214285714285716,4.027272727272727,4.070192307692308
Indiana Ave & 26th St,,4,31,41.845687,-87.622481,"41.8457,-87.6225",17810.0,19,52,15,4.008333333333334,3.8,4.078431372549019
Larrabee St & Webster Ave,,8,31,41.921822,-87.64414,"41.9218,-87.6441",33105.0,36,63,16,3.8457142857142856,4.17,4.060483870967742
Mies van der Rohe Way & Chestnut St,,1,31,41.8985866514,-87.6219152258,"41.8986,-87.6219",60495.0,49,63,8,3.969791666666667,4.071428571428571,4.104761904761905
McClurg Ct & Erie St,,0,31,41.894503,-87.617854,"41.8945,-87.6179",58900.0,43,63,10,3.916279069767442,4.075,4.107936507936508
Sedgwick St & Webster Ave,,7,31,41.922167,-87.638888,"41.9222,-87.6389",37550.0,26,56,21,3.9613636363636364,4.2749999999999995,4.14
Dearborn Pkwy & Delaware Pl,,12,31,41.898969,-87.629912,"41.899,-87.6299",60173.0,55,70,7,4.042727272727273,3.9714285714285715,4.087142857142857
Clark St & Lincoln Ave,,17,31,41.915689,-87.6346,"41.9157,-87.6346",22441.0,30,53,18,3.7423076923076923,4.158333333333333,3.9581632653061223
State St & 33rd St,,2,31,41.834734,-87.625813,"41.8347,-87.6258",2883.0,7,46,18,3.0,3.85,3.0940476190476187
Calumet Ave & 33rd St,,4,31,41.8349,-87.61793,"41.8349,-87.6179",1378.0,4,33,29,3.0,2.564285714285714,2.95
Michigan Ave & 8th St,,30,31,41.872773,-87.623981,"41.8728,-87.624",37127.0,27,63,13,3.784615384615385,4.24375,3.89672131147541
California Ave & Cortez St,,9,31,41.900363,-87.696704,"41.9004,-87.6967",10036.0,26,45,12,3.9973684210526317,4.416666666666667,4.086585365853659
Kingsbury St & Kinzie St,,0,31,41.88917683258,-87.6385057718,"41.8892,-87.6385",82438.0,57,66,5,4.100877192982456,4.24,4.16439393939394
Damen Ave & Division St,,12,31,41.903266,-87.678435,"41.9033,-87.6784",27696.0,49,68,7,3.9673469387755103,3.957142857142857,4.129411764705883
Morgan Ave & 14th Pl,,0,31,41.862378,-87.651062,"41.8624,-87.6511",18169.0,19,57,15,3.764705882352941,3.95,4.0122641509433965
Racine Ave & 13th St,,2,31,41.865054,-87.656959,"41.8651,-87.657",18412.0,24,62,11,3.728947368421052,3.9299999999999997,4.014406779661017
Keystone Ave & Montrose Ave,,6,31,41.96110801623,-87.7289701012,"41.9611,-87.729",8745.0,19,53,6,4.045833333333333,3.15,4.05
Avers Ave & Belmont Ave,,2,31,41.939408,-87.723574,"41.9394,-87.7236",7309.0,26,51,9,3.9578947368421056,3.81,4.034042553191489
Clybourn Ave & Division St,,11,31,41.904613,-87.640552,"41.9046,-87.6406",29163.0,42,55,11,3.7557142857142853,3.9799999999999995,4.099038461538462
Troy St & Elston Ave,,4,31,41.94524356848,-87.7066499009,"41.9452,-87.7066",15418.0,18,44,13,4.252941176470588,4.175,4.13780487804878
Talman Ave & Addison St,,9,31,41.9466358306,-87.694614758,"41.9466,-87.6946",18317.0,23,47,18,4.005,4.083333333333333,4.086956521739131
Leavitt St & Addison St,,5,31,41.946655,-87.683359,"41.9467,-87.6834",14588.0,39,59,11,3.885294117647059,3.625,3.9776785714285716
Western Ave & Roscoe St,,1,31,41.943034,-87.687288,"41.943,-87.6873",10838.0,31,52,13,3.937037037037037,3.85,4.016
Michigan Ave & Pearson St,,0,31,41.89766,-87.62351,"41.8977,-87.6235",63324.0,51,69,8,3.9970588235294118,4.0875,4.083333333333333
Larrabee St & North Ave,,12,31,41.91021,-87.6435,"41.9102,-87.6435",31207.0,42,59,11,3.737837837837838,3.757142857142857,3.9660714285714285
Sheffield Ave & Kingsbury St,,1,31,41.910522,-87.653106,"41.9105,-87.6531",24167.0,32,53,15,3.862,3.591666666666667,4.012745098039216
Aberdeen St & Jackson Blvd,,6,31,41.87772613,-87.65478743,"41.8777,-87.6548",51437.0,40,63,16,3.96,4.116666666666666,4.111864406779661
May St & Taylor St,,9,31,41.8694821,-87.6554864,"41.8695,-87.6555",14349.0,15,56,15,3.8444444444444446,3.8299999999999996,3.902727272727273
Orleans St & Elm St,,7,31,41.902924,-87.637715,"41.9029,-87.6377",37208.0,47,66,13,3.9284090909090907,3.9499999999999997,4.0296875
Larrabee St & Menomonee St,,8,31,41.91468,-87.64332,"41.9147,-87.6433",34087.0,44,59,15,3.80625,4.050000000000001,3.985344827586207
Noble St & Milwaukee Ave,,14,31,41.90068,-87.6626,"41.9007,-87.6626",21811.0,31,66,11,3.903703703703704,3.6916666666666664,4.064166666666667
State St & Pershing Rd,,5,31,41.82301523798,-87.6265680185,"41.823,-87.6266",3247.0,3,37,10,2.3333333333333335,0.73,2.958108108108108
Lake Park Ave & 35th St,,9,31,41.83127423549,-87.6087991946,"41.8313,-87.6088",1900.0,2,28,22,4.0,2.5833333333333335,2.3846153846153846
Wentworth Ave & 35th St,,6,31,41.830777,-87.632504,"41.8308,-87.6325",4579.0,10,44,13,3.75,3.5,3.5112499999999995
Wentworth Ave & 33rd St,,5,31,41.83452988563,-87.6318229814,"41.8345,-87.6318",3100.0,8,45,17,3.0,3.2,3.56125
Shields Ave & 31st St,,8,31,41.838464,-87.635406,"41.8385,-87.6354",10636.0,9,57,12,3.88,3.8,3.8153846153846156
Shields Ave & 28th Pl,,6,31,41.842733,-87.635491,"41.8427,-87.6355",14071.0,11,57,13,3.975,3.8166666666666664,3.9480392156862743
Cottage Grove Ave & 71st St,,2,31,41.76571903697,-87.604959713,"41.7657,-87.605",456.0,12,33,4,3.6,1.55,2.193548387096774
Shields Ave & 43rd St,,9,31,41.81620767856,-87.6348193497,"41.8162,-87.6348",1586.0,4,28,11,4.333333333333333,3.1833333333333336,2.7962962962962963
Union Ave & Root St,,7,31,41.819102,-87.643278,"41.8191,-87.6433",540.0,5,20,12,4.25,3.5125,2.85
Walsh Park,,12,31,41.91461,-87.667968,"41.9146,-87.668",32390.0,45,59,11,3.9243589743589746,3.975,4.13448275862069
California Ave & Lake St,,1,31,41.88445395657,-87.6962981368,"41.8845,-87.6963",1085.0,3,32,11,3.2,2.25,2.767857142857143
Calumet Ave & 21st St,,7,31,41.85418424947,-87.6191537415,"41.8542,-87.6192",8943.0,21,42,23,3.615789473684211,3.938888888888889,3.6923076923076925
Kedzie Ave & Chicago Ave,,2,31,41.89546530305,-87.7061278837,"41.8955,-87.7061",4659.0,14,32,8,3.96,4.75,3.5839285714285714
Western Ave & Walton St,,5,31,41.89841768945,-87.6865960164,"41.8984,-87.6866",16448.0,35,54,11,4.025806451612903,4.275,4.130769230769231
Kedzie Ave & Lake St,,2,31,41.88460328501,-87.7063037436,"41.8846,-87.7063",1168.0,5,26,10,5.0,3.7,2.2954545454545454
Calumet Ave & 71st St,,4,31,41.76550800581,-87.616917925,"41.7655,-87.6169",2002.0,10,44,2,3.875,0.0,2.7209302325581395
Racine Ave & Randolph St,,6,31,41.884069,-87.656853,"41.8841,-87.6569",52351.0,47,62,16,3.9625,3.9125,4.073770491803279
Yates Blvd & 75th St,,4,31,41.758768,-87.56644,"41.7588,-87.5664",1397.0,2,38,4,3.0,2.1666666666666665,2.9324324324324325
Jeffery Blvd & 76th St,,5,31,41.75712006802,-87.5758393587,"41.7571,-87.5758",1249.0,2,41,4,4.5,0.0,3.1125
Clark St & 9th St (AMLI),,5,31,41.870816,-87.631246,"41.8708,-87.6312",30234.0,31,62,9,3.8333333333333335,4.08,3.928688524590164
Aberdeen St & Monroe St,,17,31,41.880419,-87.655519,"41.8804,-87.6555",50029.0,45,63,16,4.010526315789474,4.023076923076923,4.115573770491803
Daley Center Plaza,,0,31,41.884241,-87.629634,"41.8842,-87.6296",55743.0,50,66,10,4.032,4.26,4.116666666666666
Eckhart Park,,9,31,41.89637337,-87.66098386,"41.8964,-87.661",20316.0,25,63,13,3.9975,3.857142857142857,4.13909090909091
Milwaukee Ave & Grand Ave,,3,31,41.891578,-87.648384,"41.8916,-87.6484",56653.0,47,66,13,3.9952380952380957,3.675,4.054615384615385
Michigan Ave & Oak St,,0,31,41.90096039,-87.62377664,"41.901,-87.6238",46651.0,48,64,9,3.92906976744186,4.142857142857143,4.0390625
Field Blvd & South Water St,,6,31,41.88634906269,-87.6175165471,"41.8863,-87.6175",56239.0,34,56,15,3.9191176470588234,4.213333333333334,4.073214285714285
MLK Jr Dr & 83rd St,,3,31,41.743116,-87.6148,"41.7431,-87.6148",1539.0,6,44,4,3.675,1.3333333333333333,2.5595238095238093
Ellis Ave & 83rd St,,3,31,41.744123,-87.599034,"41.7441,-87.599",1167.0,8,37,3,2.875,1.3333333333333333,2.8055555555555554
Cottage Grove Ave & 83rd St,,1,31,41.743441,-87.604836,"41.7434,-87.6048",1140.0,9,38,4,3.5200000000000005,2.7375,2.691666666666667
Phillips Ave & 83rd St,,2,31,41.744531,-87.56506,"41.7445,-87.5651",337.0,2,22,5,4.5,1.0,2.2045454545454546
Stony Island Ave & 82nd St,,6,31,41.746559,-87.586005,"41.7466,-87.586",744.0,2,24,7,4.5,1.2,3.130434782608696
Exchange Ave & 79th St,,6,31,41.751731,-87.552812,"41.7517,-87.5528",227.0,2,19,5,,1.6333333333333335,1.7777777777777777
Commercial Ave & 83rd St,,7,31,41.744615,-87.551208,"41.7446,-87.5512",261.0,1,23,4,,1.0,2.409090909090909
South Chicago Ave & 83rd St,,5,31,41.743921,-87.575225,"41.7439,-87.5752",1136.0,2,40,6,3.5,1.0,2.8076923076923075
Milwaukee Ave & Cuyler Ave,,11,31,41.954468,-87.749594,"41.9545,-87.7496",5406.0,17,47,7,4.059090909090909,3.0875,3.743333333333333
Clarendon Ave & Junior Ter,,9,31,41.961004,-87.649603,"41.961,-87.6496",14856.0,17,49,23,3.930769230769231,4.09,4.046938775510204
Ravenswood Ave & Irving Park Rd,,2,31,41.95469,-87.67393,"41.9547,-87.6739",19182.0,38,62,11,3.962121212121212,3.5,4.068333333333333
Shore Dr & 55th St,,12,31,41.795212,-87.580715,"41.7952,-87.5807",11649.0,15,45,24,3.7649999999999997,4.255,3.7568181818181823
Ashland Ave & Belle Plaine Ave,,6,31,41.956057,-87.668835,"41.9561,-87.6688",16573.0,33,54,19,3.927586206896552,3.68125,4.138
Morgan St & Polk St,,0,31,41.871737,-87.65103,"41.8717,-87.651",17468.0,19,56,15,3.8535714285714286,4.0600000000000005,3.980357142857143
Sheridan Rd & Irving Park Rd,,0,31,41.954245,-87.654406,"41.9542,-87.6544",19871.0,44,75,12,3.737209302325581,4.0625,3.9166666666666665
Lincoln Ave & Sunnyside Ave,,0,31,41.963004,-87.684781,"41.963,-87.6848",21363.0,26,59,11,3.884210526315789,3.62,4.095689655172414
Damen Ave & Leland Ave,,3,31,41.967094,-87.679028,"41.9671,-87.679",20936.0,27,61,12,3.9428571428571426,3.7142857142857144,4.149152542372882
